serial,day,month,year,season,time,bin_depth_min,bin_depth_max,n,depth_mean,depth_sd,depth_cv,temp_mean,temp_sd,temp_cv,cond_mean,cond_sd,cond_cv,ph_mean,ph_sd,ph_cv,turb_units,turb_mean,turb_sd,turb_cv,chloro_mean,chloro_sd,chloro_cv,do_percent_mean,do_percent_sd,do_percent_cv,do_ppm_mean,do_ppm_sd,do_ppm_cv,lat,long
113,17,6,2013,Spring,1440,1.5,2.5,6,1.996,0.265,0.132766,20.745,0.261,0.013,0.265,0.001,0.004,8.098,0.016,0.002,NTU,122.383,0.194,0.002,3.2,0,0,82.55,0.259,0.003,7.39,0.062,0.008,41.66438,-82.9507
113,17,6,2013,Spring,1440,2.5,3.5,5,2.791,0.264,0.09459,20.446,0.039,0.002,0.267,0.001,0.004,8.132,0.008,0.001,NTU,122.14,0.055,0.00045,3.2,0,0,82.88,0.045,0.001,7.466,0.011,0.001,41.66438,-82.9507
113,17,6,2013,Spring,1440,3.5,4.5,4,3.933,0.298,0.075769,20.16,0.07,0.003,0.271,0.002,0.007,8.135,0.006,0.001,NTU,121.925,0.05,0.00041,3.2,0,0,83.2,0.082,0.001,7.537,0.017,0.002,41.66438,-82.9507
113,17,6,2013,Spring,1440,4.5,5.5,4,4.992,0.371,0.074319,19.907,0.056,0.003,0.274,0,0,8.11,0.008,0.001,NTU,93.475,56.583,0.605,4.05,1.7,0.42,83.45,0.058,0.001,7.595,0.013,0.002,41.66438,-82.9507
113,17,6,2013,Spring,1440,9.5,10.5,2,9.559,0.018,0.001883,19.57,0,0,0.276,0,0,8.04,0,0,NTU,64.7,72.832,1.126,15.85,13.364,0.843,97.6,0.283,0.003,8.945,0.021,0.002,41.66438,-82.9507
113,17,6,2013,Spring,1440,8.5,9.5,3,9.031,0.275,0.030451,19.603,0.015,0.001,0.276,0,0,8.057,0.006,0.001,NTU,11.8,0.6,0.051,6.833,4.25,0.622,98.6,0.4,0.004,9.033,0.031,0.003,41.66438,-82.9507
113,17,6,2013,Spring,1440,7.5,8.5,4,8.03,0.391,0.048692,19.668,0.022,0.001,0.276,0,0,8.065,0.006,0.001,NTU,9.9,0.44,0.044,7.625,2.802,0.367,99.7,0.365,0.004,9.117,0.033,0.004,41.66438,-82.9507
113,17,6,2013,Spring,1440,6.5,7.5,3,7.047,0.325,0.046119,19.737,0.025,0.001,0.275,0,0,8.073,0.006,0.001,NTU,9.467,0.462,0.049,5.9,6.275,1.064,100.633,0.252,0.003,9.193,0.015,0.002,41.66438,-82.9507
113,17,6,2013,Spring,1440,5.5,6.5,4,6.058,0.344,0.056784,19.802,0.028,0.001,0.275,0,0,8.092,0.005,0.001,NTU,9.075,0.34,0.037,9.475,4.725,0.499,101.4,0.216,0.002,9.255,0.017,0.002,41.66438,-82.9507
114,17,6,2013,Spring,1835,1.5,2.5,3,1.903,0.236,0.124015,21.403,0.015,0.001,0.252,0,0,8.097,0.006,0.001,NTU,813.667,0.058,0.00007,2.1,0,0,74.5,0,0,6.587,0.006,0.001,41.76275,-82.95038
114,17,6,2013,Spring,1835,0.5,1.5,3,1.016,0.24,0.23622,21.34,0.046,0.002,0.252,0,0,8.083,0.006,0.001,NTU,813.3,0.265,0.00033,2.1,0,0,74.567,0.058,0.001,6.6,0.01,0.002,41.76275,-82.95038
114,17,6,2013,Spring,1835,2.5,3.5,4,2.832,0.296,0.10452,21.358,0.022,0.001,0.251,0,0,8.107,0.005,0.001,NTU,813.4,0.141,0.00017,2.1,0,0,74.575,0.05,0.001,6.598,0.005,0.001,41.76275,-82.95038
114,17,6,2013,Spring,1835,3.5,4.5,7,3.917,0.303,0.077355,21.137,0.238,0.011,0.251,0.001,0.004,8.13,0.012,0.001,NTU,812.157,1.318,0.002,2.1,0,0,74.8,0.238,0.003,6.644,0.053,0.008,41.76275,-82.95038
114,17,6,2013,Spring,1835,-0.5,0.5,8,0.218,0.117,0.536697,21.113,0.114,0.005,0.251,0.001,0.004,8.065,0.011,0.001,NTU,812.025,0.636,0.001,2.1,0,0,74.812,0.099,0.001,6.65,0.024,0.004,41.76275,-82.95038
114,17,6,2013,Spring,1835,4.5,5.5,7,5.06,0.35,0.06917,19.951,0.231,0.012,0.25,0.001,0.004,8.164,0.008,0.001,NTU,805.6,1.286,0.002,2.1,0,0,75.943,0.237,0.003,6.909,0.053,0.008,41.76275,-82.95038
